scenario,horizon_min,support_status,independently_calibrated_horizon,extrapolated,current_track_c,current_ambient_c,future_ambient_c,delta_ambient_c,thermal_gap_0_c,solar_elevation_mean_deg,expected_delta_track_c,expected_future_track_c,expected_delta_speed_mph,median_delta_speed_mph,p_improve,lower_80_mph,upper_80_mph,lower_90_mph,upper_90_mph,mc_sd_mph,n_mc_source
cooling,15,CALIBRATED_ANCHOR,True,False,40.0,24.0,23.75,-0.25,16.0,61.18640345702444,0.1994897907850283,40.19948979078503,-0.0544315536353253,-0.0557440825275245,0.44594,-0.7825399933542839,0.687916638260756,-1.2754334234061775,1.1501643176869822,1.0476911326110077,50000
cooling,30,CALIBRATED_ANCHOR,True,False,40.0,24.0,23.5,-0.5,16.0,62.205763033508674,0.279501851447596,40.2795018514476,-0.1024713116946472,-0.1058981328589418,0.40782,-0.8342364663858024,0.6554052763157673,-1.321165012887904,1.1196390497258006,1.0523774303342068,50000
cooling,60,CALIBRATED_ANCHOR,True,False,40.0,24.0,23.0,-1.0,16.0,63.82441036389056,0.1774728509781837,40.177472850978184,-0.2030680173941001,-0.1984391594604659,0.34118,-0.9881702811039976,0.5510040844392895,-1.420514216477842,1.0382998879311744,1.0481652016946994,50000
cooling,90,CALIBRATED_ANCHOR,True,False,40.0,24.0,22.5,-1.5,16.0,64.66517495170874,-0.1848401332071718,39.815159866792825,-0.291977450324143,-0.2826900876288543,0.28572,-1.1091099950336294,0.456295750249504,-1.5375762587148756,0.9656016698969422,1.0560695086970482,50000
cooling,120,CALIBRATED_ANCHOR,True,False,40.0,24.0,22.0,-2.0,16.0,64.53573809536132,-1.0803211094256815,38.91967889057432,-0.3592740877189221,-0.3463084217157283,0.24878,-1.201031979738122,0.3956626664466717,-1.6204351185388266,0.9087420311955456,1.070773497710167,50000
neutral,15,CALIBRATED_ANCHOR,True,False,40.0,24.0,24.0,0.0,16.0,61.18640345702444,0.4085765483072265,40.408576548307224,-0.0201941561864349,-0.0165614121965313,0.4792,-0.7381679209207908,0.7134566114008196,-1.2249575814239917,1.184151160266401,1.0435898730847153,50000
neutral,30,CALIBRATED_ANCHOR,True,False,40.0,24.0,24.0,0.0,16.0,62.205763033508674,0.8071910111391698,40.80719101113917,-0.0349239594504233,-0.0291141859879613,0.47334,-0.7592460121403944,0.7011253646452451,-1.2478347116389714,1.1702080190504822,1.033622890727469,50000
neutral,60,CALIBRATED_ANCHOR,True,False,40.0,24.0,24.0,0.0,16.0,63.82441036389056,1.5946044714005652,41.594604471400565,-0.0674627691885279,-0.0612673929727969,0.44468,-0.822098231989106,0.6758098519602326,-1.2892403287156706,1.1632171893895544,1.0490001807343403,50000
neutral,90,CALIBRATED_ANCHOR,True,False,40.0,24.0,24.0,0.0,16.0,64.66517495170874,2.203211932205693,42.20321193220569,-0.084359862852321,-0.0795708856948251,0.43386,-0.8508497833322626,0.6704145547305147,-1.313306200108196,1.152392022143197,1.0484416619647956,50000
neutral,120,CALIBRATED_ANCHOR,True,False,40.0,24.0,24.0,0.0,16.0,64.53573809536132,2.455035586338136,42.455035586338134,-0.1002561303263352,-0.097191115736308,0.42122,-0.9053803476631344,0.6411643695457578,-1.331673239469476,1.138284970792844,1.0390400885745068,50000
warming,15,CALIBRATED_ANCHOR,True,False,40.0,24.0,24.25,0.25,16.0,61.18640345702444,0.6176633058294247,40.617663305829424,0.0285951439272708,0.0276164183807908,0.5282,-0.7134854528617942,0.7548950443710748,-1.1867226505768975,1.2368746775965394,1.0486534602746396,50000
warming,30,CALIBRATED_ANCHOR,True,False,40.0,24.0,24.5,0.5,16.0,62.205763033508674,1.3348801708307436,41.33488017083074,0.0474549180559999,0.0497252279462634,0.54506,-0.6810232075245258,0.7832543466631614,-1.1618123824167963,1.261687043000019,1.0508449918090867,50000
warming,60,CALIBRATED_ANCHOR,True,False,40.0,24.0,25.0,1.0,16.0,63.82441036389056,3.011736091822947,43.01173609182295,0.0855751920646003,0.0796310120364561,0.56746,-0.6675703434894146,0.8337608592211789,-1.1454346423130106,1.3148108638061025,1.0496479854871767,50000
warming,90,CALIBRATED_ANCHOR,True,False,40.0,24.0,25.5,1.5,16.0,64.66517495170874,4.591263997618558,44.591263997618555,0.1164287442571175,0.1219929188730003,0.59878,-0.6409366471159402,0.8766332437857616,-1.1111647683267838,1.348803525584521,1.0536597357623532,50000
warming,120,CALIBRATED_ANCHOR,True,False,40.0,24.0,26.0,2.0,16.0,64.53573809536132,5.990392282101953,45.99039228210195,0.1635356403717391,0.1635120232069901,0.62762,-0.6243419808084251,0.942513890419257,-1.080166647933701,1.4190045159146571,1.0676897067498978,50000
