year,session_date,local_time,timezone_name,local_datetime,utc_datetime,utc_offset_hours,source_sheet,source_row_index,source_block_occurrence,ambient_f,ambient_c,track_f,track_c,humidity,wind_raw,wind,wind_direction,pressure_raw,pressure,pressure_quality,sensor_1_name,sensor_1_f,sensor_2_name,sensor_2_f,sensor_3_name,sensor_3_f,sensor_4_name,sensor_4_f,sensor_avg_f,time_utc,hrrr_match_time_utc,hrrr_offset_min,hrrr_temp_c,hrrr_dewpoint_c,hrrr_relative_humidity_pct,hrrr_wind_speed_10m_ms,hrrr_gust_ms,hrrr_cloud_cover_pct,hrrr_shortwave_radiation_wm2,hrrr_pressure_hpa
2020,2020-08-15,08:15:00,America/Indiana/Indianapolis,2020-08-15 08:15:00-04:00,2020-08-15 12:15:00+00:00,-4.0,2020 Temp Archive,325,1,70.0,21.11111111111111,80.0,26.666666666666668,0.87,0.0,0.0,E,29.17,29.17,VALID,SF,79.0,I6,77.9,I10,79.0,I15,82.9,79.7,2020-08-15 12:15:00+00:00,2020-08-15 12:00:00+00:00,15.0,19.094506835937523,18.675744628906273,97.41919637443134,0.673767997843418,0.908822864294052,1.375,138.1,987.8
2020,2020-08-15,08:30:00,America/Indiana/Indianapolis,2020-08-15 08:30:00-04:00,2020-08-15 12:30:00+00:00,-4.0,2020 Temp Archive,326,1,71.0,21.666666666666668,81.0,27.22222222222222,0.85,0.0,0.0,E,29.17,29.17,VALID,SF,80.6,I6,78.1,I10,79.3,I15,85.3,80.825,2020-08-15 12:30:00+00:00,2020-08-15 12:00:00+00:00,30.0,19.094506835937523,18.675744628906273,97.41919637443134,0.673767997843418,0.908822864294052,1.375,138.1,987.8
2020,2020-08-15,08:45:00,America/Indiana/Indianapolis,2020-08-15 08:45:00-04:00,2020-08-15 12:45:00+00:00,-4.0,2020 Temp Archive,327,1,72.0,22.22222222222222,82.0,27.77777777777778,0.82,4.0,4.0,SE,29.16,29.16,VALID,SF,83.3,I6,78.3,I10,80.4,I15,87.3,82.325,2020-08-15 12:45:00+00:00,2020-08-15 13:00:00+00:00,15.0,21.178826904296898,20.040673828125023,93.22649362975235,1.3135441473597769,1.4195531122386456,0.0,335.20000000000005,987.8
2020,2020-08-15,09:00:00,America/Indiana/Indianapolis,2020-08-15 09:00:00-04:00,2020-08-15 13:00:00+00:00,-4.0,2020 Temp Archive,328,1,74.0,23.333333333333332,84.0,28.88888888888889,0.79,2.0,2.0,SE,29.16,29.16,VALID,SF,85.8,I6,78.3,I10,81.3,I15,89.8,83.8,2020-08-15 13:00:00+00:00,2020-08-15 13:00:00+00:00,0.0,21.178826904296898,20.040673828125023,93.22649362975235,1.3135441473597769,1.4195531122386456,0.0,335.20000000000005,987.8
2020,2020-08-15,09:15:00,America/Indiana/Indianapolis,2020-08-15 09:15:00-04:00,2020-08-15 13:15:00+00:00,-4.0,2020 Temp Archive,329,1,75.0,23.88888888888889,86.0,30.0,0.77,2.0,2.0,ESE,29.17,29.17,VALID,SF,88.3,I6,78.4,I10,84.2,I15,92.1,85.75,2020-08-15 13:15:00+00:00,2020-08-15 13:00:00+00:00,15.0,21.178826904296898,20.040673828125023,93.22649362975235,1.3135441473597769,1.4195531122386456,0.0,335.20000000000005,987.8
2020,2020-08-15,09:30:00,America/Indiana/Indianapolis,2020-08-15 09:30:00-04:00,2020-08-15 13:30:00+00:00,-4.0,2020 Temp Archive,330,1,75.0,23.88888888888889,88.0,31.11111111111111,0.75,0.0,0.0,SE,29.17,29.17,VALID,SF,91.0,I6,78.6,I10,86.5,I15,95.0,87.775,2020-08-15 13:30:00+00:00,2020-08-15 13:00:00+00:00,30.0,21.178826904296898,20.040673828125023,93.22649362975235,1.3135441473597769,1.4195531122386456,0.0,335.20000000000005,987.8
2020,2020-08-15,10:45:00,America/Indiana/Indianapolis,2020-08-15 10:45:00-04:00,2020-08-15 14:45:00+00:00,-4.0,2020 Temp Archive,331,1,78.0,25.555555555555557,99.0,37.22222222222222,0.7,1.0,1.0,SE,29.17,29.17,VALID,SF,105.3,I6,79.9,I10,100.4,I15,110.5,99.025,2020-08-15 14:45:00+00:00,2020-08-15 15:00:00+00:00,15.0,25.113610839843773,20.833093261718773,77.17196007798827,0.4815214243127341,2.9325572177767754,0.0,697.5,987.9
2020,2020-08-15,11:00:00,America/Indiana/Indianapolis,2020-08-15 11:00:00-04:00,2020-08-15 15:00:00+00:00,-4.0,2020 Temp Archive,332,1,80.0,26.666666666666668,101.0,38.333333333333336,0.67,1.0,1.0,SSW,29.17,29.17,VALID,SF,107.2,I6,80.1,I10,102.6,I15,112.8,100.675,2020-08-15 15:00:00+00:00,2020-08-15 15:00:00+00:00,0.0,25.113610839843773,20.833093261718773,77.17196007798827,0.4815214243127341,2.9325572177767754,0.0,697.5,987.9
2020,2020-08-15,11:15:00,America/Indiana/Indianapolis,2020-08-15 11:15:00-04:00,2020-08-15 15:15:00+00:00,-4.0,2020 Temp Archive,333,1,80.0,26.666666666666668,103.0,39.44444444444444,0.65,0.0,0.0,S,29.17,29.17,VALID,SF,110.1,I6,80.4,I10,105.4,I15,115.9,102.95,2020-08-15 15:15:00+00:00,2020-08-15 15:00:00+00:00,15.0,25.113610839843773,20.833093261718773,77.17196007798827,0.4815214243127341,2.9325572177767754,0.0,697.5,987.9
2020,2020-08-15,11:30:00,America/Indiana/Indianapolis,2020-08-15 11:30:00-04:00,2020-08-15 15:30:00+00:00,-4.0,2020 Temp Archive,334,1,81.0,27.22222222222222,105.0,40.55555555555556,0.64,4.0,4.0,NNW,29.17,29.17,VALID,SF,113.0,I6,80.8,I10,108.5,I15,118.4,105.175,2020-08-15 15:30:00+00:00,2020-08-15 15:00:00+00:00,30.0,25.113610839843773,20.833093261718773,77.17196007798827,0.4815214243127341,2.9325572177767754,0.0,697.5,987.9
2020,2020-08-15,11:45:00,America/Indiana/Indianapolis,2020-08-15 11:45:00-04:00,2020-08-15 15:45:00+00:00,-4.0,2020 Temp Archive,335,1,81.0,27.22222222222222,107.0,41.666666666666664,0.63,5.0,5.0,NNE,29.18,29.18,VALID,SF,114.1,I6,82.8,I10,112.3,I15,116.8,106.5,2020-08-15 15:45:00+00:00,2020-08-15 16:00:00+00:00,15.0,26.437951660156273,21.029412841796898,72.21150260591058,0.6330890744471747,1.8355552405118944,0.0,827.3000000000001,988.0
2020,2020-08-15,12:00:00,America/Indiana/Indianapolis,2020-08-15 12:00:00-04:00,2020-08-15 16:00:00+00:00,-4.0,2020 Temp Archive,336,1,82.0,27.77777777777778,110.0,43.333333333333336,0.62,2.0,2.0,ENE,29.17,29.17,VALID,SF,115.0,I6,93.6,I10,115.9,I15,115.9,110.1,2020-08-15 16:00:00+00:00,2020-08-15 16:00:00+00:00,0.0,26.437951660156273,21.029412841796898,72.21150260591058,0.6330890744471747,1.8355552405118944,0.0,827.3000000000001,988.0
2020,2020-08-15,12:15:00,America/Indiana/Indianapolis,2020-08-15 12:15:00-04:00,2020-08-15 16:15:00+00:00,-4.0,2020 Temp Archive,337,1,84.0,28.88888888888889,116.0,46.666666666666664,0.58,0.0,0.0,SSW,29.17,29.17,VALID,SF,119.7,I6,100.6,I10,118.4,I15,123.6,115.57500000000002,2020-08-15 16:15:00+00:00,2020-08-15 16:00:00+00:00,15.0,26.437951660156273,21.029412841796898,72.21150260591058,0.6330890744471747,1.8355552405118944,0.0,827.3000000000001,988.0
2020,2020-08-15,12:30:00,America/Indiana/Indianapolis,2020-08-15 12:30:00-04:00,2020-08-15 16:30:00+00:00,-4.0,2020 Temp Archive,338,1,84.0,28.88888888888889,118.0,47.77777777777778,0.58,1.0,1.0,N,29.17,29.17,VALID,SF,121.8,I6,103.1,I10,120.0,I15,126.5,117.85,2020-08-15 16:30:00+00:00,2020-08-15 16:00:00+00:00,30.0,26.437951660156273,21.029412841796898,72.21150260591058,0.6330890744471747,1.8355552405118944,0.0,827.3000000000001,988.0
2020,2020-08-15,12:45:00,America/Indiana/Indianapolis,2020-08-15 12:45:00-04:00,2020-08-15 16:45:00+00:00,-4.0,2020 Temp Archive,339,1,84.0,28.88888888888889,120.0,48.888888888888886,0.57,2.0,2.0,NNW,29.17,29.17,VALID,SF,123.4,I6,107.2,I10,121.6,I15,128.8,120.25,2020-08-15 16:45:00+00:00,2020-08-15 17:00:00+00:00,15.0,27.686303710937523,20.946160888671898,66.76546779075669,1.0142571245011491,1.15544743090868,8.625,555.0,988.0
2020,2020-08-15,13:00:00,America/Indiana/Indianapolis,2020-08-15 13:00:00-04:00,2020-08-15 17:00:00+00:00,-4.0,2020 Temp Archive,340,1,84.0,28.88888888888889,122.0,50.0,0.58,5.0,5.0,N,29.17,29.17,VALID,SF,126.3,I6,109.4,I10,123.8,I15,126.7,121.55,2020-08-15 17:00:00+00:00,2020-08-15 17:00:00+00:00,0.0,27.686303710937523,20.946160888671898,66.76546779075669,1.0142571245011491,1.15544743090868,8.625,555.0,988.0
2020,2020-08-15,13:15:00,America/Indiana/Indianapolis,2020-08-15 13:15:00-04:00,2020-08-15 17:15:00+00:00,-4.0,2020 Temp Archive,341,1,85.0,29.444444444444443,123.0,50.55555555555556,0.56,1.0,1.0,E,29.17,29.17,VALID,SF,129.4,I6,109.6,I10,124.9,I15,128.3,123.05,2020-08-15 17:15:00+00:00,2020-08-15 17:00:00+00:00,15.0,27.686303710937523,20.946160888671898,66.76546779075669,1.0142571245011491,1.15544743090868,8.625,555.0,988.0
2020,2020-08-15,13:30:00,America/Indiana/Indianapolis,2020-08-15 13:30:00-04:00,2020-08-15 17:30:00+00:00,-4.0,2020 Temp Archive,342,1,87.0,30.555555555555557,125.0,51.666666666666664,0.53,4.0,4.0,S,29.17,29.17,VALID,SF,131.4,I6,108.1,I10,128.7,I15,132.8,125.25,2020-08-15 17:30:00+00:00,2020-08-15 17:00:00+00:00,30.0,27.686303710937523,20.946160888671898,66.76546779075669,1.0142571245011491,1.15544743090868,8.625,555.0,988.0
2020,2020-08-15,13:45:00,America/Indiana/Indianapolis,2020-08-15 13:45:00-04:00,2020-08-15 17:45:00+00:00,-4.0,2020 Temp Archive,343,1,87.0,30.555555555555557,128.0,53.333333333333336,0.52,2.0,2.0,NNW,29.17,29.17,VALID,SF,133.7,I6,118.8,I10,129.7,I15,129.6,127.95,2020-08-15 17:45:00+00:00,2020-08-15 18:00:00+00:00,15.0,28.430261230468773,20.8850036621094,63.69236216498683,0.8244819405075211,1.4857953488826752,12.75,920.0,987.7
2020,2020-08-15,14:00:00,America/Indiana/Indianapolis,2020-08-15 14:00:00-04:00,2020-08-15 18:00:00+00:00,-4.0,2020 Temp Archive,344,1,87.0,30.555555555555557,122.0,50.0,0.54,3.0,3.0,N,29.17,29.17,VALID,SF,127.6,I6,112.5,I10,122.2,I15,126.0,122.075,2020-08-15 18:00:00+00:00,2020-08-15 18:00:00+00:00,0.0,28.430261230468773,20.8850036621094,63.69236216498683,0.8244819405075211,1.4857953488826752,12.75,920.0,987.7
2020,2020-08-15,14:15:00,America/Indiana/Indianapolis,2020-08-15 14:15:00-04:00,2020-08-15 18:15:00+00:00,-4.0,2020 Temp Archive,345,1,85.0,29.444444444444443,124.0,51.111111111111114,0.56,2.0,2.0,NNE,29.16,29.16,VALID,SF,124.5,I6,112.8,I10,123.6,I15,134.1,123.75,2020-08-15 18:15:00+00:00,2020-08-15 18:00:00+00:00,15.0,28.430261230468773,20.8850036621094,63.69236216498683,0.8244819405075211,1.4857953488826752,12.75,920.0,987.7
2020,2020-08-15,14:30:00,America/Indiana/Indianapolis,2020-08-15 14:30:00-04:00,2020-08-15 18:30:00+00:00,-4.0,2020 Temp Archive,346,1,86.0,30.0,129.0,53.888888888888886,0.55,4.0,4.0,NNE,29.15,29.15,VALID,SF,129.9,I6,120.7,I10,129.7,I15,137.1,129.35,2020-08-15 18:30:00+00:00,2020-08-15 18:00:00+00:00,30.0,28.430261230468773,20.8850036621094,63.69236216498683,0.8244819405075211,1.4857953488826752,12.75,920.0,987.7
2020,2020-08-15,14:45:00,America/Indiana/Indianapolis,2020-08-15 14:45:00-04:00,2020-08-15 18:45:00+00:00,-4.0,2020 Temp Archive,347,1,86.0,30.0,123.0,50.55555555555556,0.55,2.0,2.0,NNW,29.15,29.15,VALID,SF,127.2,I6,122.5,I10,119.1,I15,124.7,123.375,2020-08-15 18:45:00+00:00,2020-08-15 19:00:00+00:00,15.0,29.144738769531273,20.991296386718773,61.50870106058778,0.9724943463088004,1.7402615249156952,1.375,876.0,987.1
2020,2020-08-15,15:00:00,America/Indiana/Indianapolis,2020-08-15 15:00:00-04:00,2020-08-15 19:00:00+00:00,-4.0,2020 Temp Archive,348,1,86.0,30.0,123.0,50.55555555555556,0.54,0.0,0.0,NNW,29.14,29.14,VALID,SF,122.9,I6,115.5,I10,122.9,I15,129.6,122.725,2020-08-15 19:00:00+00:00,2020-08-15 19:00:00+00:00,0.0,29.144738769531273,20.991296386718773,61.50870106058778,0.9724943463088004,1.7402615249156952,1.375,876.0,987.1
2020,2020-08-15,15:15:00,America/Indiana/Indianapolis,2020-08-15 15:15:00-04:00,2020-08-15 19:15:00+00:00,-4.0,2020 Temp Archive,349,1,85.0,29.444444444444443,124.0,51.111111111111114,0.55,0.0,0.0,NNW,29.14,29.14,VALID,SF,119.3,I6,120.2,I10,128.5,I15,129.0,124.25,2020-08-15 19:15:00+00:00,2020-08-15 19:00:00+00:00,15.0,29.144738769531273,20.991296386718773,61.50870106058778,0.9724943463088004,1.7402615249156952,1.375,876.0,987.1
2020,2020-08-15,15:30:00,America/Indiana/Indianapolis,2020-08-15 15:30:00-04:00,2020-08-15 19:30:00+00:00,-4.0,2020 Temp Archive,350,1,86.0,30.0,128.0,53.333333333333336,0.53,1.0,1.0,NE,29.14,29.14,VALID,SF,120.7,I6,125.8,I10,131.2,I15,132.4,127.525,2020-08-15 19:30:00+00:00,2020-08-15 20:00:00+00:00,30.0,29.652551269531273,20.4460388183594,57.76009279929711,0.5772180226017434,2.058558266609907,0.5,779.0,986.6
