catalogue_index,id,series,description,startTime,start_utc,start_indianapolis,filename,analysisFilename,indy_keyword,qual_keyword,500_keyword,inferred_year
55,00e5134d143e437590dbac343d24665f,IndyCar,104th Indianapolis 500 - Race,1598207095,2020-08-23T18:24:55+00:00,2020-08-23T14:24:55-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/00e5134d143e437590dbac343d24665f.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/00e5134d143e437590dbac343d24665f.json,True,False,True,2020
59,0109ce8c651a4cc6b443ff2d3b9c1ac5,IndyCar,102nd Indianapolis 500 - Practice 8,1526919908,2018-05-21T16:25:08+00:00,2018-05-21T12:25:08-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/0109ce8c651a4cc6b443ff2d3b9c1ac5.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/0109ce8c651a4cc6b443ff2d3b9c1ac5.json,True,False,True,2018
148,027333f0270d41118f6eeccb9ddd25e5,IndyCar,104th Indianapolis 500 - Qualifying,1597503295,2020-08-15T14:54:55+00:00,2020-08-15T10:54:55-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/027333f0270d41118f6eeccb9ddd25e5.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/027333f0270d41118f6eeccb9ddd25e5.json,True,True,True,2020
149,027333f0270d41118f6eeccb9ddd25e5:1,IndyCar,104th Indianapolis 500 - Qualifying,1597516950,2020-08-15T18:42:30+00:00,2020-08-15T14:42:30-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/027333f0270d41118f6eeccb9ddd25e5_1.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/027333f0270d41118f6eeccb9ddd25e5_1.json,True,True,True,2020
183,03072250-77e5-43d5-9844-4550ecd8ae34,IndyCar,109th Running of the Indianapolis 500 - Qualifications - Day One,1747493865,2025-05-17T14:57:45+00:00,2025-05-17T10:57:45-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/2025-05-17 14-57 IndyCar - 109th Running of the Indianapolis 500 - Qualifications - Day One.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/2025-05-17 14-57 IndyCar - 109th Running of the Indianapolis 500 - Qualifications - Day One.json,True,True,True,2025
249,04161f2d-97e1-48cc-a994-e33dc8747d6d,IndyCar,108th Running of the Indianapolis 500 - Practice 8,1716224240,2024-05-20T16:57:20+00:00,2024-05-20T12:57:20-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-05-20 16-57 IndyCar - 108th Running of the Indianapolis 500 - Practice 8.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-05-20 16-57 IndyCar - 108th Running of the Indianapolis 500 - Practice 8.json,True,False,True,2024
382,067067fc7f434108b4d1577c7ee69bd0,IndyCar,103rd Indianapolis 500 - Practice 2,1557932376,2019-05-15T14:59:36+00:00,2019-05-15T10:59:36-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/067067fc7f434108b4d1577c7ee69bd0.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/067067fc7f434108b4d1577c7ee69bd0.json,True,False,True,2019
640,0ae48a1c0c9244f282ecbc41632f4b71,IndyCar,103rd Indianapolis 500 - Race,1558888203,2019-05-26T16:30:03+00:00,2019-05-26T12:30:03-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/0ae48a1c0c9244f282ecbc41632f4b71.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/0ae48a1c0c9244f282ecbc41632f4b71.json,True,False,True,2019
813,0da08a56-52ca-47e3-bc8c-765dd756210a,IndyCar,Indianapolis 500 - Final Practice,1685113057,2023-05-26T14:57:37+00:00,2023-05-26T10:57:37-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/2023-05-26 14-57 IndyCar - Indianapolis 500 - Final Practice.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/2023-05-26 14-57 IndyCar - Indianapolis 500 - Final Practice.json,True,False,True,2023
872,0e68f1f7779544689fce3b4970a74f09,IndyCar,105th Running of the Indianapolis 500 - Practice 8,1621803316,2021-05-23T20:55:16+00:00,2021-05-23T16:55:16-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/0e68f1f7779544689fce3b4970a74f09.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/0e68f1f7779544689fce3b4970a74f09.json,True,False,True,2021
1431,17189526be6a4835a7052abbfdacf202,IndyCar,103rd Indianapolis 500 - Practice 6,1558275009,2019-05-19T14:10:09+00:00,2019-05-19T10:10:09-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/17189526be6a4835a7052abbfdacf202.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/17189526be6a4835a7052abbfdacf202.json,True,False,True,2019
1709,1bff3f3a-65e7-44b5-8b5a-151c8e72ea16,IndyCar,109th Running of the Indianapolis 500 - Practice 4,1747317462,2025-05-15T13:57:42+00:00,2025-05-15T09:57:42-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/2025-05-15 13-57 IndyCar - 109th Running of the Indianapolis 500 - Practice 4.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/2025-05-15 13-57 IndyCar - 109th Running of the Indianapolis 500 - Practice 4.json,True,False,True,2025
1710,1c059e6a-1d63-4269-b8b2-59cebaf85c2d,IndyCar,109th Running of the Indianapolis 500 - Practice Final,1748024845,2025-05-23T18:27:25+00:00,2025-05-23T14:27:25-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/2025-05-23 18-27 IndyCar - 109th Running of the Indianapolis 500 - Practice Final.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/2025-05-23 18-27 IndyCar - 109th Running of the Indianapolis 500 - Practice Final.json,True,False,True,2025
1723,1c492a60-2887-4505-bbaa-fb4bd39e118e,IndyCar,108th Running of the Indianapolis 500 - Practice 1,1715705829,2024-05-14T16:57:09+00:00,2024-05-14T12:57:09-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-05-14 16-57 IndyCar - 108th Running of the Indianapolis 500 - Practice 1.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-05-14 16-57 IndyCar - 108th Running of the Indianapolis 500 - Practice 1.json,True,False,True,2024
1836,1e1704caa44f4c6f85a782d500b402f9,IndyCar,102nd Indianapolis 500 - Practice 2,1526410893,2018-05-15T19:01:33+00:00,2018-05-15T15:01:33-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/1e1704caa44f4c6f85a782d500b402f9.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/1e1704caa44f4c6f85a782d500b402f9.json,True,False,True,2018
1879,1eb67cff-1077-4cae-a013-7c0c618d0963,IndyCar,110th Running of the Indianapolis 500 - Practice 1,1778601423,2026-05-12T15:57:03+00:00,2026-05-12T11:57:03-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/2026-05-12 15-57 IndyCar - 110th Running of the Indianapolis 500 - Practice 1.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/2026-05-12 15-57 IndyCar - 110th Running of the Indianapolis 500 - Practice 1.json,True,False,True,2026
1983,207c2d9765124bb8996840c6e02e0369,IndyCar,105th Running of the Indianapolis 500 - Race,1622392807,2021-05-30T16:40:07+00:00,2021-05-30T12:40:07-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/207c2d9765124bb8996840c6e02e0369.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/207c2d9765124bb8996840c6e02e0369.json,True,False,True,2021
2147,23953b38c38342afa23912822f48df0f,IndyCar,105th Running of the Indianapolis 500 - Qualifying,1621789797,2021-05-23T17:09:57+00:00,2021-05-23T13:09:57-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/23953b38c38342afa23912822f48df0f.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/23953b38c38342afa23912822f48df0f.json,True,True,True,2021
2664,2d1869ed81eb40e9a2b232bc26bae5a4,IndyCar,104th Indianapolis 500 - Practice 3,1597416910,2020-08-14T14:55:10+00:00,2020-08-14T10:55:10-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/2d1869ed81eb40e9a2b232bc26bae5a4.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/2d1869ed81eb40e9a2b232bc26bae5a4.json,True,False,True,2020
2811,2f92ac1b-7188-4947-b4f8-8299a9740d70,IndyCar,Indianapolis 500 OPEN TEST - Test Session 4,1777482724,2026-04-29T17:12:04+00:00,2026-04-29T13:12:04-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/2026-04-29 17-12 IndyCar - Indianapolis 500 OPEN TEST - Test Session 4.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/2026-04-29 17-12 IndyCar - Indianapolis 500 OPEN TEST - Test Session 4.json,True,False,True,2026
2815,2fa0061e-58b3-4e23-8f62-25e72ad8a206,IndyCar,109th Running of the Indianapolis 500 - Practice 3,1747238277,2025-05-14T15:57:57+00:00,2025-05-14T11:57:57-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/2025-05-14 15-57 IndyCar - 109th Running of the Indianapolis 500 - Practice 3.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/2025-05-14 15-57 IndyCar - 109th Running of the Indianapolis 500 - Practice 3.json,True,False,True,2025
2969,31ff28e3-71bb-4f51-b939-5dac36de3163,IndyCar,110th Running of the Indianapolis 500 - Practice Final,1779474471,2026-05-22T18:27:51+00:00,2026-05-22T14:27:51-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/2026-05-22 18-27 IndyCar - 110th Running of the Indianapolis 500 - Practice Final.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/2026-05-22 18-27 IndyCar - 110th Running of the Indianapolis 500 - Practice Final.json,True,False,True,2026
3061,339740c8b37b49b7bde3aa9c5156b4e4,IndyCar,103rd Indianapolis 500 - Practice 1,1557845711,2019-05-14T14:55:11+00:00,2019-05-14T10:55:11-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/339740c8b37b49b7bde3aa9c5156b4e4.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/339740c8b37b49b7bde3aa9c5156b4e4.json,True,False,True,2019
3063,339740c8b37b49b7bde3aa9c5156b4e4:2,IndyCar,103rd Indianapolis 500 - Practice 1,1557860511,2019-05-14T19:01:51+00:00,2019-05-14T15:01:51-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/339740c8b37b49b7bde3aa9c5156b4e4_2.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/339740c8b37b49b7bde3aa9c5156b4e4_2.json,True,False,True,2019
3079,33f831b2-18fb-48b8-a363-c13df4b764d9,IndyCar,108th Running of the Indianapolis 500 - Qualifications - Top 12,1716145361,2024-05-19T19:02:41+00:00,2024-05-19T15:02:41-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-05-19 19-02 IndyCar - 108th Running of the Indianapolis 500 - Qualifications - Top 12.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-05-19 19-02 IndyCar - 108th Running of the Indianapolis 500 - Qualifications - Top 12.json,True,True,True,2024
3305,372f28bae3744a08b76546f2add30b2d,IndyCar,102nd Indianapolis 500 - Qualifying,1526841574,2018-05-20T18:39:34+00:00,2018-05-20T14:39:34-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/372f28bae3744a08b76546f2add30b2d.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/372f28bae3744a08b76546f2add30b2d.json,True,True,True,2018
3490,3a2e3c4a0453452f8a5ab50b967bf62b,IndyCar,105th Running of the Indianapolis 500 - Qualifying,1621698897,2021-05-22T15:54:57+00:00,2021-05-22T11:54:57-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/3a2e3c4a0453452f8a5ab50b967bf62b.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/3a2e3c4a0453452f8a5ab50b967bf62b.json,True,True,True,2021
3551,3b72711fde2b4a4995bda77e415980e9,IndyCar,103rd Indianapolis 500 - Practice 5,1558180508,2019-05-18T11:55:08+00:00,2019-05-18T07:55:08-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/3b72711fde2b4a4995bda77e415980e9.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/3b72711fde2b4a4995bda77e415980e9.json,True,False,True,2019
3705,3e210d60f8b1415d8a74bb5358c328cc,IndyCar,102nd Indianapolis 500 - Practice 3,1526482508,2018-05-16T14:55:08+00:00,2018-05-16T10:55:08-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/3e210d60f8b1415d8a74bb5358c328cc.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/3e210d60f8b1415d8a74bb5358c328cc.json,True,False,True,2018
