current_attempt_id,baseline_attempt_id,session_id,year,car_number,driver_name,current_performance_time_utc,baseline_performance_time_utc,seconds_since_baseline_attempt,prior_supported_attempt_count,prior_complete_attempt_count,baseline_is_immediately_previous_supported_attempt,baseline_speed_mph,current_speed_mph,target_speed_delta_vs_best_prior_mph,current_forecast_wind_direction_sin,current_forecast_wind_direction_cos,baseline_forecast_wind_direction_sin,baseline_forecast_wind_direction_cos,delta_forecast_wind_direction_sin,delta_forecast_wind_direction_cos,derivation_rule_version,current_temp_c,baseline_temp_c,delta_temp_c,current_relative_humidity_pct,baseline_relative_humidity_pct,delta_relative_humidity_pct,current_wind_speed_10m_ms,baseline_wind_speed_10m_ms,delta_wind_speed_10m_ms,current_pressure_hpa,baseline_pressure_hpa,delta_pressure_hpa,current_cloud_cover_pct,baseline_cloud_cover_pct,delta_cloud_cover_pct,current_shortwave_radiation_wm2,baseline_shortwave_radiation_wm2,delta_shortwave_radiation_wm2,input_lineage_hash
e7089fb7-0048-5bb8-8589-cc5bbc59a6cd,954d29f8-6770-5c41-9322-b23c885935ef,INDY500_DAY1_2020,2020,60,Jack Harvey,2020-08-15T17:55:45Z,2020-08-15T15:20:45Z,9300.0,1,1,True,229.861,229.757,-0.103999999999985,0.9118416375694134,0.4105421147637969,-0.36526855924062773,0.930902185855354,1.2771101968100411,-0.5203600710915571,REPEAT_ATTEMPT_DELTA_CONTEXT_V1,29.791196441650417,25.957873916626,3.8333225250244176,50.833325545303495,66.24004704469112,-15.40672149938763,0.6597157304613889,0.6540063842358085,0.005709346225580392,987.6070833333332,987.685,-0.07791666666673791,0.0,0.0,0.0,918.3,729.7475000000001,188.5524999999999,f0987d7ea6a528bf77d7443dfbdaf131aa412c019288d4ea62928af0c0260591
33a57398-b346-53e3-b5e5-369a3ca71efc,25f997a4-1a33-565b-b2b0-1c30d3a0f19c,INDY500_DAY1_2020,2020,9,Scott Dixon,2020-08-15T18:00:45Z,2020-08-15T15:25:45Z,9300.0,1,1,True,231.094,231.053,-0.04099999999999682,0.9010032763090552,0.4338122820764165,-0.3014596534247562,0.9534789338821419,1.2024629297338114,-0.5196666518057254,REPEAT_ATTEMPT_DELTA_CONTEXT_V1,29.892552947998073,26.083568191528343,3.80898475646973,50.34268970241196,65.64559833710751,-15.302908634695555,0.6517202646821766,0.6552458024009076,-0.0035255377187309866,987.59125,987.585,0.0062499999999090505,0.0,0.0,0.0,919.15,741.3975,177.75249999999994,27703fe2fdb4686831876229a39e49b628c5c0e7dbc8a00d872f224490e18787
25ddda12-052a-5d71-ac52-6e96cf8edab9,518373d9-25de-58cf-8315-f6c215b6f672,INDY500_DAY1_2020,2020,8,Marcus Ericsson,2020-08-15T18:16:35Z,2020-08-15T16:13:15Z,7400.0,1,1,True,230.472,230.566,0.09399999999999409,0.7888755835892055,0.614552938010055,0.5573261889382664,0.8302936342785893,0.23154939465093916,-0.21574069626853432,REPEAT_ATTEMPT_DELTA_CONTEXT_V1,30.14985427856448,27.460987599690775,2.688866678873705,49.04551506703226,62.18621359330862,-13.14069852627636,0.6757844023759955,0.9362099434264856,-0.2604255410504901,987.4065277777778,986.8441666666666,0.5623611111111586,0.0,0.0,0.0,901.2055555555556,831.7445833333334,69.46097222222227,2abe8cbe6f05428420b36d7bceca83add4e8a378e6fe5d16b1812cd150d3c3a9
893c5471-df02-55c0-946f-0af9d0a835d9,9a2e168d-3dda-5e76-8daf-588c20d91341,INDY500_DAY1_2020,2020,20,Ed Carpenter,2020-08-15T18:47:30Z,2020-08-15T16:27:25Z,8405.0,1,1,True,229.811,230.211,0.4000000000000057,0.26079573506123,0.9653940048363014,0.6949152900072635,0.7190916073172603,-0.4341195549460335,0.24630239751904115,REPEAT_ATTEMPT_DELTA_CONTEXT_V1,30.598664855957058,27.822085995144334,2.776578860812723,49.19854736143741,60.21266954464038,-11.014122183202964,0.4660636925232029,0.9041990499778952,-0.43813535745469234,986.8791666666666,986.8913888888889,-0.012222222222249002,0.0,0.0,0.0,870.9166666666666,850.6098611111112,20.306805555555457,a66ddb8681e016a0a80131c510b221af3f4f2b9ffd7c3161957a4326cc192234
df3c02a3-9655-512c-a2e6-4ffe9eadc505,a7f0ef57-a971-5870-9606-1fe1cd378e2a,INDY500_DAY1_2020,2020,47,Conor Daly,2020-08-15T19:00:50Z,2020-08-15T16:58:15Z,7355.0,1,1,True,229.884,229.955,0.07100000000002638,0.11230500321377834,0.9936737826133651,0.9193970384181985,0.39333075871058637,-0.8070920352044202,0.6003430239027787,REPEAT_ATTEMPT_DELTA_CONTEXT_V1,30.8594549391005,28.77914365132652,2.0803112877739807,47.87701858327823,54.94779041793079,-7.070771834652561,0.4825775194057888,0.6835131842275244,-0.20093566482173558,986.8986111111112,987.5,-0.6013888888887777,0.0,0.0,0.0,862.0972222222222,897.7920833333334,-35.69486111111121,a8638c43c2a5c1420f4b4f01054e89ac0e7a3a474804a8deffffb45a4b29abdd
0817e595-17c0-5e20-94bc-6778006bf613,9ed5a76f-1d6e-5759-8ffc-9c1344b26bfc,INDY500_DAY1_2020,2020,88,Colton Herta,2020-08-15T19:05:50Z,2020-08-15T17:24:05Z,6105.0,1,1,True,230.56,230.775,0.2150000000000034,0.026244983739512028,0.9996555410882855,0.8932708642974155,0.4495188127290651,-0.8670258805579035,0.5501367283592205,REPEAT_ATTEMPT_DELTA_CONTEXT_V1,30.917466311984615,29.300690587361675,1.61677572462294,47.58265856654378,52.580421028295326,-4.997762461751549,0.489769109465171,0.6349212183978782,-0.1451521089327072,986.8902777777778,987.3795833333334,-0.48930555555557476,0.0,0.0,0.0,856.6805555555555,905.6194444444444,-48.93888888888887,72dedc5ee363edb3fab0ad5cddd6f76377483025e7853948a3a2e604fb5b7e88
b4a08fbf-93db-50a2-9416-96b3b9d1b41a,25f997a4-1a33-565b-b2b0-1c30d3a0f19c,INDY500_DAY1_2020,2020,9,Scott Dixon,2020-08-15T19:15:00Z,2020-08-15T15:25:45Z,13755.0,2,2,False,231.094,231.155,0.06100000000000705,-0.13157582173745533,0.9913061097028069,-0.3014596534247562,0.9534789338821419,0.1698838316873009,0.03782717582066497,REPEAT_ATTEMPT_DELTA_CONTEXT_V1,31.02382049560549,26.083568191528343,4.940252304077148,47.04299853586396,65.64559833710751,-18.602599801243556,0.5029536912407051,0.6552458024009076,-0.15229211116020247,986.875,987.585,-0.7100000000000364,0.0,0.0,0.0,846.75,741.3975,105.35249999999996,d4acce22e463dbe0b593e19e72d6c9455a91bab497436095a75b026b51fcede6
b58b5c13-1a21-50cf-ab5b-8962cc4486f0,a3016f3b-449e-576c-bf0f-284c71eddb34,INDY500_DAY1_2020,2020,81,Ben Hanley,2020-08-15T19:30:50Z,2020-08-15T16:36:35Z,10455.0,1,1,True,220.946,222.917,1.9710000000000036,0.8040706700148736,0.5945337312733671,0.7379497348224945,0.6748556800349317,0.06612093519237916,-0.08032194876156462,REPEAT_ATTEMPT_DELTA_CONTEXT_V1,30.73566080729169,28.243438932630777,2.4922218746609133,49.20791641445687,57.76860102152903,-8.560684607072162,0.6662215467130082,0.7652868167069705,-0.09906526999396237,986.8625,987.5,-0.6375000000000455,0.0,0.0,0.0,782.1666666666666,870.4559722222223,-88.28930555555564,f9dfaa65089f48b61f7d69afcc035e79bc8b38b2ea338d4e7e5cb573ba3db881
7799cc62-18bb-568d-9de2-16cb3622a0de,f2f5d37e-6270-5e2d-8ae0-2e63cea098b3,INDY500_DAY1_2020,2020,3,Helio Castroneves,2020-08-15T19:39:10Z,2020-08-15T17:34:05Z,7505.0,1,1,True,228.115,228.373,0.25799999999998136,0.8247972578309323,0.5654285838853345,0.941535662489711,0.3369133364235691,-0.11673840465877872,0.22851524746176538,REPEAT_ATTEMPT_DELTA_CONTEXT_V1,30.852034505208355,29.336611684163437,1.5154228210449183,48.557911833457496,53.02135671063407,-4.463444877176578,0.5818249335712294,0.7062880825456634,-0.124463148974434,986.9875,987.6431944444444,-0.655694444444407,0.0,0.0,0.0,773.8333333333334,909.6333333333332,-135.79999999999984,0b232389c75e8b48d941884758b8e5f4ac5c4da24304fa17fa9b7418694aaa55
fb65c8cf-d1c6-583e-9563-6c22e29bb081,75519828-93ba-5485-a4bf-a06b93f7cec3,INDY500_DAY1_2020,2020,59,Max Chilton,2020-08-15T20:10:00Z,2020-08-15T17:29:05Z,9655.0,1,1,True,225.819,227.303,1.4840000000000089,0.674588891392705,0.7381936247418839,0.8847978415374718,0.46597508475307026,-0.21020895014476682,0.2722185399888136,REPEAT_ATTEMPT_DELTA_CONTEXT_V1,31.222568766276066,29.399987157185898,1.822581609090168,46.44564110515947,52.13622697562326,-5.690585870463792,0.4858239877947036,0.62620415837634,-0.14038017058163643,987.1333333333332,987.3545833333334,-0.22125000000016826,0.0,0.0,0.0,731.1833333333334,906.7861111111112,-175.60277777777776,8b6a810483c70db7b0a3ac9c78b7349527de1ffd4239e3b04bc8cbe04fd783e0
