source_path,source_class,unit_index,text,speed_hits,second_run_terms,improvement_terms,first_attempt_terms,status_terms,lane_terms,source_native,high_value,very_high_value
weather/evidence/rescue/official_2022_editorial_chronology/article_text/INDYCAR_2022_DAY1_RECAP.txt,INDYCAR_OFFICIAL_EDITORIAL,39,"While slowing on his cooldown lap after his first attempt, Sato was judged to have impeded the qualifying attempt of the next driver, Marco Andretti.",,,,first attempt,,,True,False,False
weather/evidence/rescue/official_2022_editorial_chronology/raw_html/INDYCAR_2022_DAY1_RECAP.html,INDYCAR_OFFICIAL_EDITORIAL,40,"While slowing on his cooldown lap after his first attempt, Sato was judged to have impeded the qualifying attempt of the next driver, Marco Andretti.",,,,first attempt,,,True,False,False
weather/evidence/rescue/secondary_2022_high_priority_chronology/article_text/NBC_2022_DAY1.txt,SECONDARY_EDITORIAL,99,"(98) Marco Andretti, Honda, 02:36.2875 (230.345) 24.",230.345,,,,,,True,False,False
weather/evidence/rescue/secondary_2022_high_priority_chronology/raw_html/NBC_2022_DAY1.html,SECONDARY_EDITORIAL,112,"(98) Marco Andretti, Honda, 02:36.2875 (230.345) 24.",230.345,,,,,,True,False,False
weather/evidence/rescue/official_day1_session_details/raw_api/2022_6033_session_details.json,INDYCAR_OFFICIAL_RESULTS_OR_API,2,"Foyt Enterprises"", ""TimesLed"": null }, { ""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""20"", ""Difference"": null, ""DriverName"": ""Conor Daly"", ""DriverOverrideID"": 4218, ""DriverUrl"": ""/Drivers/Conor-Daly"", ""DriversID"": 4218, ""ElapsedTime"": ""02:35.8451"", ""EventsEntrylistID"": 34656, ""EventsSessionsDetailsID"": 105061, ""EventsSessionsID"": 6033, ""FirstName"": ""Conor"", ""Gap"": null, ""InLap"": null, ""IsDeleted"": false, ""LapsComplete"": null, ""LapsDown"": null, ""LapsLed"": null, ""LastName"": ""Daly"", ""PitStops"": null, ""PointsEarned"": null, ""PositionFinish"": 18, ""PositionStart"": null, ""QualLap1"": "" 38.7183"", ""QualLap2"": "" 38.8838"", ""QualLap3"": "" 38.9911"", ""QualLap4"": "" 39.2519"", ""SpeedAvg"": 230.999, ""SpeedAvgFormatted"": ""230.999"", ""Status"": null, ""TeamName"": ""ECR"", ""TimesLed"": null }, { ""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""77"", ""Difference"": null, ""DriverName"": ""Callum Ilott"", ""DriverOverrideID"": 4939, ""DriverUrl"": null, ""DriversID"": 4939, ""ElapsedTime"": ""02:35.8707"", ""EventsEntrylistID"": 34667, ""EventsSessionsDetailsID"": 105062, ""EventsSessionsID"": 6033, ""FirstName"": ""Callum"", ""Gap"": null, ""InLap"": null, ""IsDeleted"": false, ""LapsComplete"": null, ""LapsDown"": null, ""LapsLed"": null, ""LastName"": ""Ilott"", ""PitStops"": null, ""PointsEarned"": null, ""PositionFinish"": 19, ""PositionStart"": null, ""QualLap1"": "" 38.8151"", ""QualLap2"": "" 38.8849"", ""QualLap3"": "" 38.9907"", ""QualLap4"": "" 39.1800"", ""SpeedAvg"": 230.961, ""SpeedAvgFormatted"": ""230.961"", ""Status"": null, ""TeamName"": ""Juncos Hollinger Racing"", ""TimesLed"": null }, { ""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""27"", ""Difference"": null, ""DriverName"": ""Alexander Rossi"", ""DriverOverrideID"": 4587, ""DriverUrl"": ""/Drivers/Alexander-Rossi"", ""DriversID"": 4587, ""ElapsedTime"": ""02:35.9713"", ""EventsEntrylistID"": 34659, ""EventsSessionsDetailsID"": 105063, ""EventsSessionsID"": 6033, ""FirstName"": ""Alexander"", ""Gap"": null, ""InLap"": null, ""IsDeleted"": false, ""LapsComplete"": null, ""LapsDown"": null, ""LapsLed"": null, ""LastName"": ""Rossi"", ""PitStops"": null, ""PointsEarned"": null, ""PositionFinish"": 20, ""PositionStart"": null, ""QualLap1"": "" 38.8973"", ""Qu",230.345,,,,,,False,False,False
weather/evidence/rescue/official_day1_session_details/raw_api/2022_6033_session_details.json,INDYCAR_OFFICIAL_RESULTS_OR_API,4,"Foyt Enterprises"", ""TimesLed"": null }, { ""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""6"", ""Difference"": null, ""DriverName"": ""Juan Pablo Montoya"", ""DriverOverrideID"": 4002, ""DriverUrl"": null, ""DriversID"": 4002, ""ElapsedTime"": ""02:37.4655"", ""EventsEntrylistID"": 34670, ""EventsSessionsDetailsID"": 105073, ""EventsSessionsID"": 6033, ""FirstName"": ""Juan Pablo"", ""Gap"": null, ""InLap"": null, ""IsDeleted"": false, ""LapsComplete"": null, ""LapsDown"": null, ""LapsLed"": null, ""LastName"": ""Montoya"", ""PitStops"": null, ""PointsEarned"": null, ""PositionFinish"": 30, ""PositionStart"": null, ""QualLap1"": "" 39.2195"", ""QualLap2"": "" 39.2360"", ""QualLap3"": "" 39.4915"", ""QualLap4"": "" 39.5185"", ""SpeedAvg"": 228.622, ""SpeedAvgFormatted"": ""228.622"", ""Status"": null, ""TeamName"": ""Arrow McLaren"", ""TimesLed"": null }, { ""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""30"", ""Difference"": null, ""DriverName"": ""Christian Lundgaard"", ""DriverOverrideID"": 4938, ""DriverUrl"": ""/Drivers/Christian-Lundgaard"", ""DriversID"": 4938, ""ElapsedTime"": ""02:38.5531"", ""EventsEntrylistID"": 34662, ""EventsSessionsDetailsID"": 105074, ""EventsSessionsID"": 6033, ""FirstName"": ""Christian"", ""Gap"": null, ""InLap"": null, ""IsDeleted"": false, ""LapsComplete"": null, ""LapsDown"": null, ""LapsLed"": null, ""LastName"": ""Lundgaard"", ""PitStops"": null, ""PointsEarned"": null, ""PositionFinish"": 31, ""PositionStart"": null, ""QualLap1"": "" 39.5436"", ""QualLap2"": "" 39.3861"", ""QualLap3"": "" 39.7186"", ""QualLap4"": "" 39.9048"", ""SpeedAvg"": 227.053, ""SpeedAvgFormatted"": ""227.053"", ""Status"": null, ""TeamName"": ""Rahal Letterman Lanigan Racing"", ""TimesLed"": null }, { ""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""45"", ""Difference"": null, ""DriverName"": ""Jack Harvey"", ""DriverOverrideID"": 4505, ""DriverUrl"": ""/Drivers/Jack-Harvey"", ""DriversID"": 4505, ""ElapsedTime"": ""02:38.6944"", ""EventsEntrylistID"": 34663, ""EventsSessionsDetailsID"": 105075, ""EventsSessionsID"": 6033, ""FirstName"": ""Jack"", ""Gap"": null, ""InLap"": null, ""IsDeleted"": false, ""LapsComplete"": null, ""LapsDown"": null, ""LapsLed"": null, ""LastName"": ""Harvey"", ""PitStops"": null, ""PointsEarned"": null, ""PositionFinish"": 32, ""Positi",226.108,,,,,,False,False,False
weather/evidence/rescue/official_day1_session_details/report_text_v1/2020_5771_01_Results.txt,INDYCAR_OFFICIAL_RESULTS_OR_API,1,"Event: 104th Indianapolis 500 Round 7 Track: Indianapolis Motor Speedway 2.5 mile(s) Report: Unofficial Qualification Results NTT IndyCar Series Session: Qualifications - Day 1 August 15, 2020 Rank Car Driver Name C/E/T Lap 1 Lap 2 Lap 3 Lap 4 Total Time Speed Qualified On Status 1 98 Andretti, Marco D/H/F 38.7635 38.8670 38.9664 39.0109 02:35.6078 231.351 Day 1 2 28 Hunter-Reay, Ryan D/H/F 38.8512 38.8759 38.9241 38.9705 02:35.6217 231.330 Day 1 3 27 Rossi, Alexander D/H/F 38.8122 38.8774 38.9814 38.9928 02:35.6638 231.268 Day 1 4 29 Hinchcliffe, James D/H/F 38.8282 38.8948 38.9530 39.0366 02:35.7126 231.195 Day 1 5 9 Dixon, Scott D/H/F 38.7626 38.9061 38.9957 39.0752 02:35.7396 231.155 Day 1 6 21 VeeKay, Rinus D/C/F 38.8284 38.9562 38.9800 39.0028 02:35.7674 231.114 Day 1 7 55 Palou, Alex D/H/F 38.8681 38.9254 38.9934 39.0344 02:35.8213 231.034 Day 1 8 15 Rahal, Graham D/H/F 38.9438 38.9820 39.0050 39.0333 02:35.9641 230.822 Day 1 9 30 Sato, Takuma D/H/F 38.9200 39.0011 39.0100 39.0533 02:35.9844 230.792 Day 1 10 88 Herta, Colton D/H/F 38.8374 38.9965 39.0561 39.1062 02:35.9962 230.775 Day 1 11 8 Ericsson, Marcus D/H/F 38.9144 39.0450 39.0506 39.1274 02:36.1374 230.566 Day 1 12 45 Pigot, Spencer D/H/F 38.9063 38.9863 39.0861 39.1770 02:36.1557 230.539 Day 1 13 1 Newgarden, Josef D/C/F 39.0573 39.0611 39.0767 39.1252 02:36.3203 230.296 Day 1 14 10 Rosenqvist, Felix D/H/F 39.0221 39.0956 39.1045 39.1269 02:36.3491 230.254 Day 1 15 5 O'Ward, Pato D/C/F 38.9932 39.0884 39.1237 39.1716 02:36.3769 230.213 Day 1 16 20 Carpenter, Ed D/C/F 39.0060 39.0795 39.0909 39.2017 02:36.3781 230.211 Day 1 17 26 Veach, Zach D/H/F 39.0212 39.1183 39.1841 39.2248 02:36.5484 229.961 Day 1 18 47 Daly, Conor D/C/F 38.9642 39.1489 39.1972 39.2422 02:36.5525 229.955 Day 1 19 18 Ferrucci, Santino D/H/F 39.0531 39.1176 39.2006 39.2023 02:36.5736 229.924 Day 1 20 60 Harvey, Jack D/H/F 39.0298 39.1558 39.2385 39.1920 02:36.6161 229.861 Day 1 21 7 Askew, Oliver D/C/F 39.0787 39.1552 39.2128 39.2385 02:36.6852 229.760 Day 1 22 12 Power, Will D/C/F 39.0721 39.1698 39.2205 39.2628 02:36.7252 229.701 Day 1 23 14 Kanaan, Tony D/C/F 39.1440 39.2427 39.3254 39.3872 02:37.0993 229.154 Day 1 24 41 Ke",,,,,retired|withdrawn|waved off,,False,False,False
weather/evidence/rescue/official_day1_session_details/report_text_v1/2020_5771_02_Section_Results.txt,INDYCAR_OFFICIAL_RESULTS_OR_API,1,"Event: 104th Indianapolis 500 Round 7 Track: Indianapolis Motor Speedway 2.5 mile(s) Report: Section Data Report NTT IndyCar Series Session: Qualifications - Day 1 August 15, 2020 Section Data for Car 1 - Newgarden, Josef Lap T/SSF to T1 T1 to SS1 SS1 to T2 T2 to BS BS to T3 T3 to SS2 SS2 to T4 T4 to FS FS to SF Lap PI to PO PO to SF SF to PI T 2.8710 4.8729 4.9489 4.8871 4.8131 4.9070 4.9611 3.1318 3.6644 39.0573 50.4946 1 S 234.635 230.869 227.323 230.198 233.737 229.264 226.764 229.900 233.698 230.431 164.896 T 2.8564 4.8685 4.9479 4.8925 4.8135 4.9133 4.9664 3.1368 3.6658 39.0611 2 S 235.834 231.077 227.369 229.944 233.718 228.970 226.522 229.533 233.609 230.408 T 2.8548 4.8722 4.9576 4.8961 4.8094 4.9124 4.9731 3.1366 3.6645 39.0767 3 S 235.966 230.902 226.924 229.775 233.917 229.012 226.217 229.548 233.692 230.316 T 2.8549 4.8709 4.9625 4.9004 4.8150 4.9232 4.9845 3.1420 3.6718 39.1252 4 S 235.958 230.963 226.700 229.573 233.645 228.510 225.700 229.153 233.227 230.031 T 3.2414 5.2250 5.1035 4.9530 4.8536 4.9328 4.9788 3.1470 3.6876 40.1227 8484.3486 50.7588 49.6492 5 S 207.823 215.311 220.437 227.135 231.787 228.065 225.958 228.789 232.228 224.312 0.188 164.038 162.843 T 2.8784 4.8755 4.9610 4.9135 4.8374 4.9277 4.9838 3.1468 3.6843 39.2084 6 S 234.032 230.746 226.769 228.961 232.563 228.301 225.731 228.804 232.436 229.543 T 2.8777 4.8821 4.9701 4.9397 45.3336 7 S 234.088 230.434 226.354 227.747 178.345 Information provided by Indy Racing Information System - Copyright INDYCAR 2020 Page 1 of 34 Event: 104th Indianapolis 500 Round 7 Track: Indianapolis Motor Speedway 2.5 mile(s) Report: Section Data Report NTT IndyCar Series Session: Qualifications - Day 1 August 15, 2020 Section Data for Car 10 - Rosenqvist, Felix Lap T/SSF to T1 T1 to SS1 SS1 to T2 T2 to BS BS to T3 T3 to SS2 SS2 to T4 T4 to FS FS to SF Lap PO to SF SF to PI T 2.8712 4.8773 4.9441 4.8858 4.8104 4.8938 4.9470 3.1256 3.6669 39.0221 48.6932 1 S 234.618 230.660 227.544 230.259 233.868 229.883 227.411 230.356 233.539 230.639 170.996 T 2.8620 4.8769 4.9557 4.9015 4.8217 4.9115 4.9601 3.1343 3.6719 39.0956 2 S 235.373 230.679 227.011 229.522 233.320 229.054 226.810 229.716 233.221 230.205 T 2.86",226.108,,,,,,False,False,False
weather/evidence/rescue/official_day1_session_details/report_text_v1/2021_5838_01_Results.txt,INDYCAR_OFFICIAL_RESULTS_OR_API,1,"Event: 105th Running of the Indianapolis 500 Round 6 Track: Indianapolis Motor Speedway 2.5 mile(s) Report: Unofficial Qualification Results NTT INDYCAR SERIES Session: Qualifications - Day 1 May 22, 2021 Rank Car Driver Name C/E/T Lap 1 Lap 2 Lap 3 Lap 4 Total Time Speed Qualified On Status 1 9 Dixon, Scott D/H/F 38.6973 38.8329 38.8581 38.8991 02:35.2874 231.828 Day 1 2 26 Herta, Colton D/H/F 38.7324 38.8145 38.8901 38.9711 02:35.4081 231.648 Day 1 3 48 Kanaan, Tony D/H/F 38.7350 38.8191 38.8878 38.9721 02:35.4140 231.639 Day 1 4 20 Carpenter, Ed D/C/F 38.7531 38.8305 38.9003 38.9455 02:35.4294 231.616 Day 1 5 21 VeeKay, Rinus D/C/F 38.7788 38.8558 38.9164 38.9682 02:35.5192 231.483 Day 1 6 06 Castroneves, Helio D/H/F 38.9270 38.8963 38.9237 38.9864 02:35.7334 231.164 Day 1 7 10 Palou, Alex D/H/F 38.8283 38.9201 38.9818 39.0159 02:35.7461 231.145 Day 1 8 28 Hunter-Reay, Ryan D/H/F 38.8731 38.9195 38.9663 38.9912 02:35.7501 231.139 Day 1 9 8 Ericsson, Marcus D/H/F 38.8193 38.9254 39.0089 39.0203 02:35.7739 231.104 Day 1 10 27 Rossi, Alexander D/H/F 38.8924 38.9412 38.9700 39.0096 02:35.8132 231.046 Day 1 11 18 Jones, Ed D/H/F 38.8547 38.9348 38.9856 39.0397 02:35.8148 231.044 Day 1 12 5 O'Ward, Pato D/C/F 38.8881 38.9559 39.0085 39.0835 02:35.9360 230.864 Day 1 13 51 Fittipaldi, Pietro D/H/F 38.8699 38.9709 39.0289 39.0784 02:35.9481 230.846 Day 1 14 7 Rosenqvist, Felix D/C/F 38.9197 38.9849 39.0435 39.0687 02:36.0168 230.744 Day 1 15 30 Sato, Takuma D/H/F 38.8961 38.9852 39.0413 39.1191 02:36.0417 230.708 Day 1 16 29 Hinchcliffe, James D/H/F 38.9431 39.0186 39.0795 39.0983 02:36.1395 230.563 Day 1 17 3 McLaughlin, Scott D/C/F 38.9350 39.0120 39.0767 39.1198 02:36.1435 230.557 Day 1 18 15 Rahal, Graham D/H/F 38.9950 39.0439 39.0582 39.0709 02:36.1680 230.521 Day 1 19 47 Daly, Conor D/C/F 38.9765 39.0386 39.0866 39.1297 02:36.2314 230.427 Day 1 20 60 Harvey, Jack D/H/F 39.0577 39.0887 39.1100 39.1358 02:36.3922 230.191 Day 1 21 2 Newgarden, Josef D/C/F 38.9871 39.0958 39.1540 39.2366 02:36.4735 230.071 Day 1 22 1 Hildebrand, JR D/C/F 39.0345 39.1107 39.2657 39.1245 02:36.5354 229.980 Day 1 23 45 Ferrucci, Santino D/H/F 39.0377 39.1550 39.1780 39.1856 02:36.5563 ",,,,,retired|withdrawn|waved off,,False,False,False
weather/evidence/rescue/official_day1_session_details/report_text_v1/2022_6033_01_Results.txt,INDYCAR_OFFICIAL_RESULTS_OR_API,1,"Event: 106th Running of the Indianapolis 500 Round 6 Track: Indianapolis Motor Speedway 2.5 mile(s) Report: Official Qualification Results NTT INDYCAR SERIES Session: Qualifications - Day 1 May 21, 2022 Rank Car Driver Name C/E/T Lap 1 Lap 2 Lap 3 Lap 4 Total Time Speed Qualified On Status 1 21 VeeKay, Rinus D/C/F 38.3465 38.4745 38.5681 38.6839 02:34.0730 233.655 Day 1 2 5 O'Ward, Pato D/C/F 38.5602 38.5975 38.6591 38.6652 02:34.4820 233.037 Day 1 3 7 Rosenqvist, Felix D/C/F 38.5419 38.6049 38.8046 38.7044 02:34.6558 232.775 Day 1 4 10 Palou, Alex D/H/F 38.5293 38.5976 38.6919 38.8377 02:34.6565 232.774 Day 1 5 1 Kanaan, Tony D/H/F 38.5968 38.6797 38.7326 38.7464 02:34.7555 232.625 Day 1 6 48 Johnson, Jimmie D/H/F 38.6043 38.7216 38.7707 38.8104 02:34.9070 232.398 Day 1 7 33 Carpenter, Ed D/C/F 38.6342 38.6611 38.7016 38.9107 02:34.9076 232.397 Day 1 8 8 Ericsson, Marcus D/H/F 38.6717 38.7254 38.7977 38.7942 02:34.9890 232.275 Day 1 9 28 Grosjean, Romain D/H/F 38.6937 38.7306 38.8006 38.8129 02:35.0378 232.201 Day 1 10 9 Dixon, Scott D/H/F 38.6681 38.7453 38.7964 38.8618 02:35.0716 232.151 Day 1 11 12 Power, Will D/C/F 38.7121 38.7537 38.8492 38.9634 02:35.2784 231.842 Day 1 12 51 Sato, Takuma D/H/F 38.7127 38.8115 38.9199 38.9238 02:35.3679 231.708 Day 1 13 18 Malukas, David D/H/F 38.7127 38.7587 39.0368 38.9274 02:35.4356 231.607 Day 1 14 2 Newgarden, Josef D/C/F 38.5920 38.7375 38.9300 39.1946 02:35.4541 231.580 Day 1 15 23 Ferrucci, Santino D/C/F 38.7531 38.8385 38.9056 39.0047 02:35.5019 231.508 Day 1 16 60 Pagenaud, Simon D/H/F 38.7615 38.8390 39.0138 39.0447 02:35.6590 231.275 Day 1 17 11 Hildebrand, JR D/C/F 38.8600 38.9412 38.9735 38.9937 02:35.7684 231.112 Day 1 18 20 Daly, Conor D/C/F 38.7183 38.8838 38.9911 39.2519 02:35.8451 230.999 Day 1 19 77 Ilott, Callum D/C/F 38.8151 38.8849 38.9907 39.1800 02:35.8707 230.961 Day 1 20 27 Rossi, Alexander D/H/F 38.8973 38.9483 39.0431 39.0826 02:35.9713 230.812 Day 1 21 15 Rahal, Graham D/H/F 38.9471 39.0214 39.0155 39.0182 02:36.0022 230.766 Day 1 22 24 Karam, Sage D/C/F 38.9436 39.0606 39.1276 39.0746 02:36.2064 230.464 Day 1 23 98 Andretti, Marco D/H/F 38.9617 39.0824 39.1106 39.1328 02:36.2875 230.345 Day 1",226.108|230.345,,,,retired|withdrawn|waved off,,False,False,False
