feature,column,n,pearson,spearman,slope
shortwave,forecast_shortwave_radiation_wm2,123,-0.2802145112632228,-0.3544104203652508,-0.0018800820751948583
wind_v,wind_v_ms,123,0.18514235200648776,0.2980780237554399,0.07205399488334793
track_temp,track_temperature_c_assembled,121,-0.2092034399072793,-0.2693939690350083,-0.03381764461684757
cloud,forecast_cloud_cover_pct,123,0.13471125460218117,0.1956771195309261,0.0028027374926060888
dewpoint,forecast_dewpoint_c,123,0.06059383136241574,0.15519623633830573,0.01173797036516948
wind_speed,forecast_wind_speed_10m_ms,123,-0.04291777450026362,-0.10995941939273975,-0.023985757152224382
gust,forecast_gust_ms,123,-0.012728488804204057,-0.10595778778468162,-0.005495646777499901
humidity,forecast_relative_humidity_pct,123,0.10785238944738533,0.0877940562389996,0.008236937029093352
pressure,forecast_pressure_hpa,123,0.08085828772847486,0.05980906386631897,0.012180863220236964
solar_elevation,solar_elevation_deg_assembled,123,-0.11961000017460262,-0.042612056164776854,-0.012144505773761253
wind_u,wind_u_ms,123,-0.01377525408159091,-0.015123007447052857,-0.008247427904307976
air_density,air_density_kg_m3,123,0.017306714752454246,0.009460747089478267,0.7699249098435692
air_temp,forecast_air_temperature_c,0,,,
